src,dst,weight
ciclista,ruim,2.0
carreira,chama,2.0
duas,vir,2.0
as,encontra,4.0
devia,nos,2.0
igreja,qual,6.0
disseme,do,4.0
dupla,favorita,6.0
fez,galinha,4.0
conseguiu,entrar,8.0
filha,na,4.0
só,tinder,4.0
do,polegar,8.0
filha,tem,2.0
janeiro,vou,2.0
nenhuma,não,4.0
cantora,tony,2.0
comida,quase,6.0
cara,comeu,2.0
as,heróis,2.0
ao,colocar,4.0
gato,por,4.0
entrar,só,4.0
pela,ser,6.0
as,escola,4.0
anão,porque,4.0
instrumento,morte,2.0
amigos,que,2.0
gatos,tempo,2.0
elefante,na,4.0
duas,durante,2.0
semelhança,um,24.0
não,ser,12.0
elefante,tem,2.0
graça,material,2.0
que,si,16.0
dos,leões,8.0
brasil,por,4.0
as,roupas,4.0
porta,se,6.0
branco,os,4.0
em,usado,8.0
em,lugar,18.0
maria,uma,8.0
pó,qual,2.0
foi,suco,2.0
grande,um,20.0
animal,feliz,4.0
desistiu,que,8.0
andava,tão,8.0
potter,quando,6.0
caverna,personagem,4.0
que,toca,26.0
com,luta,2.0
do,jogador,8.0
que,terra,14.0
em,nervoso,4.0
quanto,tempo,4.0
doente,pro,2.0
pobre,rádio,2.0
construção,tudo,2.0
brasileira,cantora,2.0
pra,silvio,6.0
mata,menos,2.0
hollywood,sucesso,2.0
futebol,porque,14.0
mcdonalds,qualquer,4.0
melhor,usado,4.0
alexandre,qual,8.0
leva,pastor,4.0
cozinha,se,2.0
foi,irmã,4.0
como,cozinha,2.0
produto,um,4.0
qual,trabalhadores,4.0
dias,na,6.0
rainha,rei,4.0
dos,morreu,4.0
parte,toma,2.0
dentista,nervoso,2.0
ace,por,2.0
parte,que,26.0
dormir,vai,2.0
jogadora,sua,4.0
jogo,soares,2.0
computador,disney,2.0
música,sei,4.0
po,porque,4.0
famosa,pagode,2.0
esporte,tem,4.0
beatles,tinha,4.0
come,parente,4.0
grupo,odeia,4.0
triste,vai,4.0
atriz,ter,4.0
os,princesa,8.0
donald,maior,2.0
mal,passou,4.0
cabelo,que,6.0
história,português,2.0
manhã,que,10.0
pediu,um,2.0
não,pessoa,28.0
bíblia,em,4.0
da,galera,16.0
feliz,pai,6.0
bom,não,10.0
ele,hulk,2.0
comem,dois,2.0
suas,uma,12.0
cálice,você,12.0
que,restaurante,20.0
com,deve,4.0
em,gato,4.0
com,heróis,2.0
gol,qual,6.0
ele,silva,2.0
nascimento,se,4.0
era,vez,34.0
ao,as,12.0
falar,uma,4.0
que,serve,10.0
de,esporte,6.0
japonês,qual,10.0
comum,um,4.0
marvel,na,4.0
qual,ter,6.0
eu,trabalhar,2.0
fica,pedras,4.0
foi,jovem,2.0
carreira,na,4.0
fizeram,seus,4.0
chama,ninguém,4.0
cantor,portas,4.0
difícil,pau,2.0
calor,estão,2.0
ouro,uma,2.0
empresa,sua,2.0
das,medo,4.0
acontece,morrer,2.0
mulheres,porque,18.0
celular,praia,4.0
rapaz,vez,2.0
os,outros,24.0
foram,que,24.0
sempre,tudo,12.0
num,vaca,2.0
cinema,do,14.0
ela,falou,6.0
carta,ter,2.0
arroz,deus,2.0
foi,pelo,4.0
elemento,mais,8.0
alfaiate,perdeu,2.0
feira,levar,4.0
da,far,2.0
cantora,um,8.0
jogo,nervoso,4.0
dá,santo,2.0
bebe,todas,4.0
pra,se,18.0
ano,porque,12.0
polícia,pra,6.0
bonito,patos,4.0
fiquei,luz,4.0
fazer,irmão,2.0
caixa,ele,4.0
estavam,repente,2.0
gostava,por,2.0
primeira,só,4.0
ele,pedra,4.0
ele,voltou,4.0
qual,santo,14.0
melhor,papel,2.0
leonardo,mais,2.0
da,sempre,24.0
as,perguntaram,4.0
no,não,104.0
depois,saiu,2.0
do,vem,4.0
entra,história,2.0
banda,no,6.0
casar,do,4.0
entre,por,6.0
foi,um,82.0
chão,frango,4.0
aquilo,de,4.0
ali,um,12.0
inglês,profissional,2.0
nome,político,2.0
of,viu,2.0
coisas,fernando,2.0
esta,que,10.0
vale,você,4.0
jesus,tinder,2.0
dos,que,60.0
de,igreja,6.0
fim,prato,4.0
com,espaço,2.0
alta,tinha,2.0
doença,todos,2.0
dos,sentimento,4.0
por,santos,6.0
se,óculos,2.0
dizer,no,8.0
data,pra,2.0
adão,primeiro,8.0
china,se,2.0
anda,no,4.0
marvel,vilão,4.0
amor,entre,12.0
estava,nao,4.0
mia,pro,6.0
carro,um,52.0
com,primos,4.0
colocar,forno,2.0
calor,da,2.0
curte,qual,10.0
como,medida,2.0
ave,favorita,4.0
as,perna,2.0
herói,igreja,4.0
ar,por,8.0
qual,seu,32.0
novo,porco,2.0
levar,qual,8.0
com,quem,6.0
alguma,coisa,2.0
ator,favorito,12.0
arroz,na,2.0
ciclista,disse,2.0
duas,vezes,8.0
caipira,escola,2.0
casa,um,16.0
elas,passar,2.0
dinheiro,não,2.0
que,sai,8.0
fofoca,uma,6.0
chocolate,leite,4.0
do,ouvir,2.0
jogo,papel,4.0
filme,só,8.0
gosta,ovelha,2.0
crianças,inseto,2.0
seus,são,6.0
ao,crime,4.0
novela,preferida,4.0
do,nao,2.0
conta,de,40.0
rádio,ter,4.0
crimes,uma,4.0
andar,outro,4.0
cuida,sobre,2.0
outros,pedro,2.0
semana,vai,4.0
esposa,está,4.0
se,tamanho,4.0
ao,começar,2.0
alguma,que,2.0
carne,muito,4.0
outra,tua,4.0
fernando,porque,4.0
fazia,pra,4.0
porque,sozinho,4.0
depois,qual,16.0
força,homem,4.0
cai,do,4.0
bom,melhor,4.0
quer,uma,6.0
assim,bate,4.0
entre,resultado,4.0
quem,vive,6.0
em,virgem,4.0
pro,quando,16.0
coisas,tá,4.0
homem,qual,30.0
automóvel,uma,4.0
ben,porque,4.0
cantor,qual,182.0
para,sexual,2.0
do,nunca,28.0
esse,sai,2.0
abriu,nova,6.0
hulk,incrível,2.0
empresa,nome,2.0
estão,piadas,2.0
ponto,superman,4.0
aquilo,restaurante,2.0
chá,tomar,4.0
luta,se,4.0
diabo,foi,2.0
come,sanduíche,4.0
boa,qual,4.0
faz,pais,2.0
criança,negro,4.0
calendário,conta,2.0
pé,salmão,2.0
pokémon,primos,2.0
de,futebol,70.0
falar,ia,4.0
bate,casa,2.0
obras,vos,2.0
dos,programa,10.0
ele,estômago,2.0
homem,tenta,4.0
ovo,sítio,4.0
isso,tenho,4.0
ficou,mês,4.0
suas,vida,2.0
esse,mais,4.0
altas,programa,8.0
assim,mas,2.0
alto,pessoal,2.0
férias,passar,2.0
com,perna,4.0
foi,pouco,2.0
alguém,qual,6.0
era,por,26.0
caso,foi,4.0
economia,que,6.0
delegacia,galo,4.0
que,sobremesa,10.0
deus,na,4.0
amor,que,16.0
assunção,muito,2.0
pelo,pessoa,4.0
na,três,4.0
sul,são,2.0
amor,sentimento,2.0
mundo,quem,8.0
bem,se,16.0
em,fim,2.0
pagode,que,6.0
de,político,10.0
favorita,fundo,2.0
se,sempre,20.0
nota,usava,2.0
tinha,vi,4.0
em,qual,326.0
fui,por,4.0
pescoço,que,2.0
em,esperma,2.0
ficar,político,2.0
grupo,tem,6.0
em,falar,8.0
funkeiro,programa,4.0
em,médicos,2.0
jardineiro,por,8.0
brasil,jornalista,2.0
neymar,qual,10.0
nariz,que,8.0
banda,está,12.0
bem,perde,2.0
com,já,14.0
banho,não,2.0
do,tony,2.0
depois,nasce,2.0
atum,trabalhadores,2.0
disse,dois,6.0
jogadora,no,2.0
qual,têm,6.0
luz,água,4.0
dupla,luciano,2.0
inventou,muita,2.0
precisa,que,18.0
como,uma,48.0
homem,ontem,4.0
se,triste,8.0
nunca,the,2.0
acha,de,8.0
figura,relacionamento,4.0
carne,procura,4.0
menina,uma,4.0
pé,uma,10.0
comida,porque,6.0
disseme,gajo,4.0
pediu,pra,2.0
coisas,tem,10.0
carlos,por,2.0
lá,na,24.0
no,quando,34.0
existe,vida,4.0
lá,tem,16.0
deus,faustão,2.0
da,massa,4.0
mexicano,às,2.0
gosta,queijo,4.0
cão,futuro,4.0
caixa,sempre,2.0
belo,qual,6.0
estavam,na,4.0
comunista,diz,4.0
do,irmã,10.0
não,vivo,4.0
jesus,menino,4.0
avião,uma,4.0
adotar,não,2.0
mas,muita,4.0
cantora,galinha,2.0
não,usa,4.0
ao,piloto,2.0
na,suas,2.0
of,se,2.0
costuma,um,6.0
há,mais,12.0
internet,os,4.0
esporte,gaúchos,2.0
aconteceu,papel,4.0
queria,um,16.0
como,pressão,2.0
chique,de,2.0
que,repente,4.0
existe,transporte,4.0
casar,sabão,2.0
ano,dizia,4.0
da,rita,2.0
por,star,4.0
batatas,qual,4.0
profissional,quando,2.0
andar,na,4.0
de,limpa,12.0
ciclista,fazer,2.0
desenho,qual,32.0
cantora,pra,6.0
em,ou,4.0
mais,poeta,4.0
bater,vai,2.0
carne,com,4.0
planta,porque,2.0
andam,pessoas,6.0
na,trabalhava,4.0
tinder,um,2.0
do,lutador,6.0
os,roubar,2.0
china,vende,4.0
boneco,diferença,4.0
alexandre,bebida,4.0
jim,por,8.0
espera,maria,2.0
tem,vem,2.0
foi,pra,30.0
passarinho,quer,4.0
aparecida,que,8.0
onde,que,38.0
como,sabe,14.0
melhor,ou,4.0
carta,país,2.0
apresentadora,de,2.0
star,vive,2.0
fiquei,tipo,2.0
qual,suas,8.0
elfo,mulheres,2.0
cantora,famosa,4.0
por,rádio,4.0
final,pro,2.0
pai,porque,18.0
som,vez,4.0
amigo,seu,2.0
mas,porque,14.0
itália,voltou,4.0
chaves,star,2.0
avó,por,2.0
material,se,4.0
carros,da,4.0
da,filho,8.0
estão,que,14.0
morar,santos,2.0
pede,story,4.0
aquático,gaúcho,4.0
perde,senha,4.0
da,seriado,6.0
duro,na,2.0
paulo,polícia,2.0
casa,ferro,2.0
não,políticos,4.0
qual,trabalhava,10.0
que,seria,14.0
rádio,têm,2.0
carro,pra,18.0
braço,da,2.0
fotos,no,2.0
comer,tentou,4.0
atleta,seu,2.0
dela,na,4.0
banco,foi,2.0
curte,tinder,2.0
de,marca,34.0
filme,mia,2.0
do,um,114.0
cama,ir,2.0
pequeno,ti,4.0
caiu,cantor,4.0
música,samba,4.0
dia,tinha,6.0
casa,pra,10.0
do,jogo,28.0
mario,nao,2.0
de,piadas,20.0
canal,porque,2.0
espera,gente,4.0
não,pequena,4.0
alguém,esposa,4.0
caverna,na,14.0
para,quando,36.0
acontece,no,6.0
decidi,para,2.0
dança,dos,12.0
casal,mundo,2.0
come,qual,18.0
na,porta,6.0
elemento,na,2.0
se,tudo,8.0
super,tem,4.0
corpo,os,10.0
chique,restaurante,8.0
fazendo,que,26.0
foi,irmão,2.0
faz,mosquito,2.0
gente,qual,12.0
que,usam,18.0
jogo,ou,8.0
nome,toma,4.0
entre,patos,4.0
adão,mais,2.0
papa,ser,4.0
nome,que,226.0
calendário,que,2.0
por,óculos,8.0
filme,jackson,2.0
começou,usava,2.0
incentiva,jogador,2.0
começou,salvar,4.0
banho,era,4.0
existem,que,6.0
mulheres,namorada,4.0
deitou,do,8.0
corpo,pé,2.0
dizer,vai,6.0
que,zero,6.0
cara,mesmo,4.0
no,usar,2.0
chama,só,14.0
negão,resultado,2.0
anos,gasolina,4.0
banho,quando,10.0
dos,flores,2.0
mais,papa,2.0
carteira,mim,4.0
estão,existem,2.0
saúde,têm,2.0
praia,qual,2.0
cego,mas,4.0
diz,pela,4.0
alho,interpreta,4.0
esportivo,perdeu,2.0
por,você,20.0
ovo,se,6.0
destino,do,4.0
dos,liga,2.0
assim,estou,4.0
da,sofre,2.0
ficou,minha,6.0
carne,não,6.0
mal,por,4.0
gado,um,4.0
preferido,se,4.0
pais,ser,2.0
cebolinha,pegou,4.0
maio,mês,2.0
comunista,ferramenta,2.0
cachorros,com,4.0
portas,trabalho,2.0
jesus,tomou,4.0
fadas,na,4.0
diz,estás,2.0
nome,xmen,6.0
academia,vai,4.0
este,melhor,4.0
espaço,filme,2.0
de,mil,2.0
presente,um,12.0
em,guerra,4.0
alexandre,banda,2.0
no,sabor,4.0
disse,trabalho,4.0
ama,fazer,6.0
mandou,qual,2.0
andam,são,2.0
diferentes,seis,16.0
ilha,sozinho,2.0
pés,terra,4.0
parte,qual,44.0
outros,primeiro,4.0
te,zezé,2.0
cantor,internet,8.0
estou,sempre,10.0
chinês,ele,4.0
frango,que,8.0
fica,hoje,4.0
em,problema,4.0
dum,mais,4.0
tão,vivem,2.0
março,têm,2.0
prédio,que,4.0
caiu,no,6.0
jogadora,outra,4.0
mortal,se,4.0
nasce,se,2.0
manicure,porque,6.0
deixou,porque,10.0
um,índio,4.0
enquanto,igreja,4.0
não,trabalhadores,4.0
economia,gato,2.0
duas,podem,4.0
pedras,todas,4.0
delegacia,pegou,4.0
guerra,médico,2.0
as,galinhas,6.0
este,quando,4.0
está,jogo,4.0
em,último,2.0
nasceu,paz,6.0
loiras,no,4.0
mar,vive,4.0
cidade,paga,4.0
de,preto,4.0
relacionamento,último,4.0
médico,piscina,4.0
falou,final,2.0
por,preso,20.0
drogas,zezé,2.0
pra,professores,2.0
chefe,mais,2.0
chinês,naufrágio,2.0
ciência,do,4.0
miss,qual,12.0
ao,pobre,2.0
leite,todo,2.0
notícia,são,4.0
de,super,10.0
porque,santos,8.0
de,março,6.0
os,outro,6.0
dorme,ele,2.0
com,tinha,8.0
fábio,qual,6.0
globo,olho,4.0
pai,portugal,2.0
entrar,sente,4.0
leite,quando,2.0
só,único,2.0
mas,portugal,2.0
como,galo,2.0
americano,gatos,4.0
porque,pro,20.0
lápis,olho,2.0
as,chaves,4.0
eu,te,4.0
eu,sou,8.0
gatos,mais,4.0
apanhou,comida,2.0
careca,que,4.0
cães,rua,6.0
deve,que,16.0
qual,tio,8.0
cu,filme,2.0
carro,levar,6.0
de,toma,4.0
qual,tanto,2.0
não,ter,22.0
in,quatro,2.0
para,tv,4.0
de,que,1232.0
infantil,só,8.0
gente,videogame,4.0
joão,ti,2.0
bem,corri,2.0
bebe,rainha,4.0
alta,muito,2.0
na,passado,2.0
comprou,padre,2.0
mc,uma,4.0
dos,peixes,4.0
por,vc,2.0
carne,disse,14.0
já,poeta,4.0
de,me,6.0
cu,pessoa,2.0
qualquer,um,4.0
homem,matar,4.0
aí,mãe,4.0
muitos,se,8.0
cá,usar,2.0
bola,com,4.0
que,vilão,8.0
companhia,sem,4.0
as,destino,6.0
ace,cigarro,2.0
dos,fim,2.0
estômago,musical,2.0
neve,roupas,6.0
apresentadora,mais,2.0
gato,sofre,2.0
café,manhã,4.0
os,usam,10.0
dos,qual,268.0
herói,que,8.0
perfume,ruim,4.0
de,tira,4.0
jorge,só,2.0
ferro,filho,2.0
as,uma,38.0
altas,qual,10.0
do,meus,2.0
pode,também,4.0
cachorros,não,2.0
de,dos,94.0
do,ferro,4.0
qual,qualquer,2.0
ciclista,de,4.0
cá,hoje,4.0
china,gente,4.0
jogadores,sempre,4.0
batman,no,2.0
serve,te,4.0
as,mosquito,2.0
no,outros,4.0
no,queria,4.0
de,xmen,10.0
da,espera,4.0
ano,do,6.0
depois,entra,2.0
graça,se,4.0
ao,dentes,2.0
pelos,preferido,2.0
com,joga,2.0
funkeiro,qual,8.0
tem,um,58.0
manda,numa,4.0
paga,se,4.0
da,manhã,10.0
bicicleta,se,8.0
as,rapper,4.0
ao,dois,8.0
de,velho,6.0
santos,silvio,24.0
no,ralph,6.0
falar,não,6.0
portugal,um,4.0
de,existem,4.0
filhos,rádio,4.0
protagonizado,qual,12.0
com,ouvi,4.0
disseme,que,10.0
há,nós,4.0
não,seu,6.0
da,já,6.0
of,passa,2.0
livro,novo,4.0
era,menina,4.0
fulano,um,12.0
com,praia,4.0
qual,verde,2.0
tudo,um,16.0
entrar,se,10.0
qual,sexo,4.0
esta,ou,4.0
eu,também,2.0
dos,quais,2.0
ao,porque,70.0
galo,parede,2.0
celular,sexual,2.0
eles,jogadores,4.0
funciona,jogo,2.0
flores,jardim,2.0
jornalista,para,2.0
ator,dentes,4.0
chamam,nos,2.0
donald,você,4.0
ela,pediu,4.0
com,destino,2.0
esporte,rainha,4.0
banco,no,2.0
pra,toda,4.0
onde,tomar,4.0
famosa,mundo,2.0
do,filha,8.0
minha,que,24.0
deixa,minha,4.0
animais,tem,4.0
em,entra,2.0
por,técnico,2.0
comer,fruta,4.0
com,uma,70.0
filho,ir,4.0
futuro,mão,2.0
que,todas,18.0
duro,trabalho,4.0
brasileiro,por,6.0
favorito,sanduíche,2.0
movimento,qual,2.0
os,tem,24.0
medo,os,4.0
as,perdeu,2.0
dele,filósofo,2.0
animal,mia,2.0
foram,passando,4.0
deixa,nova,4.0
coisas,impossível,2.0
do,regra,2.0
eu,nenhum,2.0
morar,você,4.0
funkeiro,nasce,2.0
do,irmão,8.0
biscoito,zezé,2.0
paraíso,um,4.0
da,letra,6.0
americano,estado,20.0
disseme,eu,4.0
feira,qual,4.0
de,teve,20.0
dá,final,4.0
favorita,perna,2.0
cidade,ninguém,4.0
bola,não,2.0
bebe,branco,2.0
bebida,do,20.0
caverna,da,8.0
negro,às,4.0
precisa,roupa,4.0
de,fazem,12.0
padaria,uma,2.0
ela,uma,28.0
muita,não,4.0
alguma,ou,2.0
abre,sem,4.0
ele,só,14.0
cerveja,vermelha,2.0
guerra,natal,2.0
porque,star,4.0
no,última,8.0
isso,pedi,4.0
marca,os,2.0
cão,vaise,4.0
ano,um,4.0
avião,com,2.0
beatles,não,4.0
ar,todos,2.0
criado,pela,2.0
fosse,professor,4.0
medida,tirar,4.0
no,trabalha,6.0
crimes,não,2.0
comum,nos,12.0
sobre,sucesso,2.0
gostam,por,6.0
dois,quem,6.0
ontem,te,4.0
apresentador,as,2.0
pelos,qual,20.0
não,têm,32.0
dos,esposa,4.0
história,os,6.0
michael,música,2.0
na,por,82.0
de,usado,12.0
que,zeca,8.0
internet,pela,8.0
presidente,que,14.0
deixou,jogador,4.0
cidade,nova,6.0
melhor,tenho,4.0
do,plantas,2.0
até,joão,2.0
médico,porque,10.0
porque,rádio,4.0
mais,of,4.0
ela,pressão,2.0
cultura,só,4.0
num,pra,4.0
do,of,2.0
no,nossa,6.0
namorado,não,2.0
cheia,odeia,2.0
cinema,que,4.0
mundo,uma,10.0
depois,tomou,2.0
atriz,por,6.0
de,tirar,26.0
caneta,de,16.0
restaurante,semelhança,4.0
primeira,se,2.0
amor,ou,4.0
cada,dia,6.0
existem,livros,4.0
profissional,trabalha,2.0
dos,reclama,4.0
bem,ela,6.0
alexandre,mas,2.0
era,má,4.0
pequeno,tão,36.0
academia,só,2.0
alguém,depois,4.0
muito,tem,18.0
como,horas,2.0
cão,se,14.0
onde,roupa,4.0
olho,porque,2.0
casar,que,6.0
assunção,fazer,4.0
eram,perguntaram,4.0
brasileira,dragon,2.0
mãe,virase,8.0
do,levar,8.0
professora,usa,2.0
novela,sofre,2.0
fruta,neymar,2.0
dia,seus,4.0
elas,perguntaram,4.0
sempre,única,4.0
dos,guerra,2.0
apareceu,roupa,4.0
musical,seria,4.0
do,manicure,4.0
que,sexy,6.0
banho,de,14.0
pra,ver,4.0
fazer,qual,18.0
ninguém,parte,2.0
para,toca,2.0
pra,uber,2.0
qual,tesão,6.0
seu,todos,4.0
marvel,sucesso,2.0
que,trabalho,22.0
mãe,qual,16.0
fábio,perfume,4.0
conseguiu,um,4.0
qual,água,6.0
personagem,rei,4.0
john,qual,10.0
economia,fala,4.0
chão,no,32.0
meu,sapo,2.0
qual,story,2.0
são,só,10.0
aí,há,4.0
jardim,que,8.0
ele,vrau,2.0
ana,para,2.0
dos,último,2.0
filme,se,12.0
pedreiro,seu,4.0
pela,trabalhava,2.0
eles,gente,4.0
menino,mãe,4.0
na,obrigado,2.0
em,árabe,6.0
na,sei,4.0
esporte,pelé,2.0
josé,se,2.0
homens,piada,2.0
da,funkeiro,2.0
pequenas,que,10.0
porque,você,6.0
fazem,mar,2.0
de,la,8.0
em,usava,2.0
filmes,podem,8.0
no,sai,2.0
cerveja,do,6.0
fazer,sobre,10.0
cemitério,nome,4.0
lugar,pra,4.0
esposa,presente,2.0
dos,perfume,2.0
jardim,tira,2.0
avião,não,8.0
em,grande,4.0
as,filósofo,4.0
batman,esta,2.0
professores,que,14.0
jovem,um,2.0
rua,sair,4.0
cai,que,14.0
conto,quem,4.0
fazendo,qual,4.0
eu,pedra,2.0
com,transporte,2.0
cara,nome,20.0
papa,peido,2.0
biscoito,filha,2.0
de,tomar,8.0
deve,nada,4.0
polícia,qual,2.0
qual,resultado,16.0
crianças,fora,2.0
com,peixe,4.0
herói,la,2.0
bola,quando,4.0
de,nada,26.0
crescer,qual,4.0
as,muito,10.0
amiga,menos,2.0
por,sabia,6.0
duas,vez,4.0
plantas,porque,6.0
não,vão,18.0
por,roupas,4.0
eu,no,14.0
coisas,onde,6.0
qual,sei,4.0
fica,você,6.0
chocolate,que,8.0
me,peido,2.0
amigos,banda,4.0
de,dificuldade,4.0
estava,que,98.0
mania,só,2.0
cavalo,encontrar,2.0
quem,um,18.0
floresta,quem,4.0
beatles,quando,4.0
disney,ninja,4.0
data,qual,6.0
cavalo,qual,4.0
comida,um,14.0
consegue,de,8.0
levar,mas,4.0
dos,estados,4.0
bndchen,por,4.0
hulk,verde,2.0
militar,no,2.0
língua,tinder,2.0
bonito,pessoa,4.0
china,fruta,4.0
quer,todo,4.0
em,vários,2.0
grupo,negão,2.0
porque,preso,24.0
mais,toma,2.0
acabou,ela,4.0
animais,piada,2.0
chama,crescer,6.0
cabeça,porque,8.0
chocolate,dos,6.0
mais,que,330.0
pessoas,sai,2.0
musical,na,4.0
médicos,só,6.0
comeu,ele,4.0
curte,te,2.0
do,sentimento,2.0
mulher,no,8.0
atriz,globo,4.0
no,pau,6.0
qual,volta,8.0
batatas,em,2.0
ele,presente,4.0
encontrar,espaço,2.0
anos,só,10.0
essa,sua,2.0
cheio,mãe,2.0
começar,decidi,6.0
consegue,terra,2.0
faz,não,10.0
no,sílvio,4.0
estás,hoje,6.0
homem,mas,16.0
cantor,mas,10.0
legume,sabe,2.0
com,muito,12.0
rio,um,4.0
fazia,qual,4.0
mirim,sua,4.0
fica,preso,4.0
onde,pequenas,4.0
boa,mas,2.0
para,sai,2.0
embora,estava,4.0
cheia,tem,6.0
drogas,que,2.0
uma,vão,8.0
no,odeia,2.0
adele,nome,4.0
só,ti,2.0
cara,no,16.0
cidade,forma,4.0
cry,os,4.0
outra,qualquer,2.0
alto,pequenas,2.0
grande,peixes,2.0
poder,uma,4.0
de,roupa,40.0
alguém,história,4.0
alguém,mas,4.0
do,eu,20.0
lá,salvador,2.0
dá,lá,4.0
atum,vendido,4.0
eu,ti,2.0
ajuda,sempre,4.0
chinês,falou,4.0
maior,maria,4.0
ficou,presente,4.0
perfume,usar,2.0
na,sempre,38.0
grande,qual,10.0
diretor,um,4.0
café,uma,4.0
do,paciente,4.0
fica,vc,2.0
deixou,do,2.0
em,história,2.0
graça,maria,4.0
em,mas,20.0
atleta,por,10.0
dormir,pessoas,2.0
nome,passando,2.0
do,pato,10.0
as,com,58.0
conseguem,só,6.0
estou,já,4.0
carro,preferido,8.0
dá,neve,2.0
careca,nariz,2.0
animal,ilha,4.0
gosta,tipo,4.0
na,triste,4.0
comediante,sempre,4.0
dum,mulher,2.0
aconteceu,depois,4.0
conta,da,16.0
mão,no,6.0
ele,homo,6.0
de,nariz,2.0
essa,meu,4.0
foi,saiu,6.0
do,programa,56.0
